ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
44,Generic Brand Tweed Blazer — Studio (cashmere blend),Clothing,Tweed Blazer cut in a studio silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,60.36,cashmere blend,4,18,26.9
45,Generic Brand Herringbone Coat — Bold (polyester),Clothing,Herringbone Coat cut in a bold silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,39.16,polyester,5,6,15.2
46,Generic Brand Utility Overshirt — Minimal (polyester),Clothing,Utility Overshirt cut in a minimal silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,142.66,polyester,4,24,27.1
47,Generic Brand Workwear Chore Jacket — Eco (linen),Clothing,Workwear Chore Jacket cut in a eco silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,226.81,linen,5,6,25.3
48,Generic Brand Stretch Pencil Trousers — Soft (organic cotton),Clothing,Stretch Pencil Trousers cut in a soft silhouette. Fabric: organic cotton. Everyday-ready with refined construction and lasting comfort.,161.63,organic cotton,3,18,19.1
49,Generic Brand Sateen Blouse — Premium (hemp blend),Clothing,Sateen Blouse cut in a premium silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,106.32,hemp blend,4,0,12.6
50,Generic Brand Modal Turtleneck — Bold (vegan leather),Clothing,Modal Turtleneck cut in a bold silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,219.99,vegan leather,3,6,24.0
51,Generic Brand Sustainable Hoodie — Bold (linen),Clothing,Sustainable Hoodie cut in a bold silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,107.43,linen,5,24,18.7
52,Generic Brand Organic Cotton Tee — Eco (polyester),Clothing,Organic Cotton Tee cut in a eco silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,47.38,polyester,5,36,37.9
53,Generic Brand Recycled Nylon Windbreaker — Bold (modal blend),Clothing,Recycled Nylon Windbreaker cut in a bold silhouette. Fabric: modal blend. Everyday-ready with refined construction and lasting comfort.,71.59,modal blend,4,36,27.2
54,Generic Brand Performance Leggings — Urban (polyester),Clothing,Performance Leggings cut in a urban silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,83.1,polyester,4,36,9.1
55,Generic Brand Studio Jacket — Minimal (vegan leather),Clothing,Studio Jacket cut in a minimal silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,27.56,vegan leather,5,0,39.9
56,Generic Brand Knit Midi Skirt — Soft (recycled nylon),Clothing,Knit Midi Skirt cut in a soft silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,111.84,recycled nylon,5,12,29.8
57,Generic Brand Satin Midi Dress — Heritage (cashmere blend),Clothing,Satin Midi Dress cut in a heritage silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,186.68,cashmere blend,3,12,14.3
58,Generic Brand Crinkle Chiffon Dress — Minimal (modal blend),Clothing,Crinkle Chiffon Dress cut in a minimal silhouette. Fabric: modal blend. Everyday-ready with refined construction and lasting comfort.,189.34,modal blend,3,18,38.8
59,Generic Brand Tailored Shorts — Minimal (vegan leather),Clothing,Tailored Shorts cut in a minimal silhouette. Fabric: vegan leather. Everyday-ready with refined construction and lasting comfort.,180.14,vegan leather,5,18,36.5
60,Generic Brand Box-Pleat Skirt — Heritage (merino wool),Clothing,Box-Pleat Skirt cut in a heritage silhouette. Fabric: merino wool. Everyday-ready with refined construction and lasting comfort.,53.23,merino wool,4,6,40.3
61,Generic Brand Boat-Neck Knit — Urban (polyester),Clothing,Boat-Neck Knit cut in a urban silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,129.5,polyester,5,6,39.2
62,Generic Brand Square-Neck Top — Soft (polyester),Clothing,Square-Neck Top cut in a soft silhouette. Fabric: polyester. Everyday-ready with refined construction and lasting comfort.,224.93,polyester,4,0,39.5
63,Generic Brand Ruffle Sleeve Blouse — Heritage (merino wool),Clothing,Ruffle Sleeve Blouse cut in a heritage silhouette. Fabric: merino wool. Everyday-ready with refined construction and lasting comfort.,112.4,merino wool,4,0,44.1
64,Generic Brand Popover Tunic — Eco (recycled nylon),Clothing,Popover Tunic cut in a eco silhouette. Fabric: recycled nylon. Everyday-ready with refined construction and lasting comfort.,31.51,recycled nylon,3,6,24.4
65,Generic Brand Knit Column Dress — Bold (cashmere blend),Clothing,Knit Column Dress cut in a bold silhouette. Fabric: cashmere blend. Everyday-ready with refined construction and lasting comfort.,32.74,cashmere blend,4,0,10.9
66,Generic Brand Soft Lounge Pants — Premium (linen),Clothing,Soft Lounge Pants cut in a premium silhouette. Fabric: linen. Everyday-ready with refined construction and lasting comfort.,207.41,linen,5,12,31.2
67,Generic Brand Relaxed Lounge Tee — Urban (hemp blend),Clothing,Relaxed Lounge Tee cut in a urban silhouette. Fabric: hemp blend. Everyday-ready with refined construction and lasting comfort.,81.6,hemp blend,5,0,28.0
68,Generic Brand Straight-Leg Jeans — Studio (linen),Clothing,"Alternative Straight-Leg Jeans in natural finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",157.53,linen,4,12,33.5
69,Generic Brand High-Rise Culottes — Soft (recycled nylon),Clothing,"Alternative High-Rise Culottes in brushed finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",247.98,recycled nylon,4,12,10.2
70,Generic Brand Linen Utility Jacket — Heritage (vegan leather),Clothing,"Alternative Linen Utility Jacket in natural finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",226.93,vegan leather,3,0,20.3
71,Generic Brand Trench Coat — Premium (vegan leather),Clothing,"Alternative Trench Coat in matte finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",122.12,vegan leather,5,24,20.9
72,Generic Brand Quilted Liner Jacket — Classic (polyester),Clothing,"Alternative Quilted Liner Jacket in natural finish. Fabric: polyester. Updated fit, drape, and detailing for distinct style preferences.",238.8,polyester,5,6,24.0
73,Generic Brand Cable-Knit Crewneck — Heritage (organic cotton),Clothing,"Alternative Cable-Knit Crewneck in matte finish. Fabric: organic cotton. Updated fit, drape, and detailing for distinct style preferences.",188.36,organic cotton,5,0,6.7
74,Generic Brand Merino V-Neck — Eco (recycled nylon),Clothing,"Alternative Merino V-Neck in natural finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",78.67,recycled nylon,5,12,17.7
75,Generic Brand Boxy Crop Tee — Classic (polyester),Clothing,"Alternative Boxy Crop Tee in textured finish. Fabric: polyester. Updated fit, drape, and detailing for distinct style preferences.",37.47,polyester,4,24,24.0
76,Generic Brand Seamless Tank — Heritage (organic cotton),Clothing,"Alternative Seamless Tank in matte finish. Fabric: organic cotton. Updated fit, drape, and detailing for distinct style preferences.",186.27,organic cotton,4,24,31.2
77,Generic Brand Ponte Knit Pants — Performance (cashmere blend),Clothing,"Alternative Ponte Knit Pants in natural finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",164.53,cashmere blend,3,6,18.6
78,Generic Brand Wrap Midi Skirt — Minimal (linen),Clothing,"Alternative Wrap Midi Skirt in brushed finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",202.35,linen,4,0,10.2
79,Generic Brand Ribbed Knit Dress — Studio (polyester),Clothing,"Alternative Ribbed Knit Dress in natural finish. Fabric: polyester. Updated fit, drape, and detailing for distinct style preferences.",122.95,polyester,3,24,16.3
80,Generic Brand A-Line Day Dress — Urban (bamboo viscose),Clothing,"Alternative A-Line Day Dress in textured finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",56.55,bamboo viscose,3,36,39.8
81,Generic Brand Smocked Blouse — Heritage (vegan leather),Clothing,"Alternative Smocked Blouse in brushed finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",178.04,vegan leather,3,24,9.9
82,Generic Brand Peplum Top — Minimal (recycled nylon),Clothing,"Alternative Peplum Top in gloss finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",129.81,recycled nylon,3,0,30.1
83,Generic Brand Corduroy Skirt — Classic (linen),Clothing,"Alternative Corduroy Skirt in matte finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",33.42,linen,4,18,33.8
84,Generic Brand Vegan Leather Pants — Studio (hemp blend),Clothing,"Alternative Vegan Leather Pants in natural finish. Fabric: hemp blend. Updated fit, drape, and detailing for distinct style preferences.",148.03,hemp blend,5,12,6.9
85,Generic Brand Faux-Suede Jacket — Soft (cashmere blend),Clothing,"Alternative Faux-Suede Jacket in gloss finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",226.33,cashmere blend,4,24,29.7
86,Generic Brand Wool Beret — Bold (bamboo viscose),Clothing,"Alternative Wool Beret in natural finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",118.22,bamboo viscose,3,18,11.0
87,Generic Brand Cashmere Wrap — Eco (recycled nylon),Clothing,"Alternative Cashmere Wrap in brushed finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",189.43,recycled nylon,4,18,6.3
88,Generic Brand Knit Scarf — Premium (linen),Clothing,"Alternative Knit Scarf in gloss finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",59.03,linen,4,12,6.7
89,Generic Brand Thermal Leggings — Heritage (modal blend),Clothing,"Alternative Thermal Leggings in brushed finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",245.75,modal blend,5,18,16.2
90,Generic Brand Athletic Joggers — Premium (cashmere blend),Clothing,"Alternative Athletic Joggers in natural finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",47.6,cashmere blend,4,24,18.1
91,Generic Brand Performance Tee — Bold (vegan leather),Clothing,"Alternative Performance Tee in gloss finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",122.27,vegan leather,4,36,6.3
92,Generic Brand Breathable Polo — Studio (modal blend),Clothing,"Alternative Breathable Polo in textured finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",60.9,modal blend,3,6,10.4
93,Generic Brand Waffle Henley — Soft (modal blend),Clothing,"Alternative Waffle Henley in natural finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",63.28,modal blend,5,24,39.0
94,Generic Brand Down Puffer Vest — Classic (recycled nylon),Clothing,"Alternative Down Puffer Vest in brushed finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",192.14,recycled nylon,5,18,35.8
95,Generic Brand Packable Parka — Urban (vegan leather),Clothing,"Alternative Packable Parka in matte finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",135.32,vegan leather,3,0,40.5
96,Generic Brand Paperbag Trousers — Premium (bamboo viscose),Clothing,"Alternative Paperbag Trousers in gloss finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",65.96,bamboo viscose,5,0,37.5
97,Generic Brand Bias-Cut Skirt — Bold (cashmere blend),Clothing,"Alternative Bias-Cut Skirt in textured finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",218.65,cashmere blend,5,12,12.4
98,Generic Brand Denim Shirt Dress — Heritage (modal blend),Clothing,"Alternative Denim Shirt Dress in brushed finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",166.46,modal blend,5,36,17.4
99,Generic Brand Sculpted Waistcoat — Minimal (cashmere blend),Clothing,"Alternative Sculpted Waistcoat in natural finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",143.68,cashmere blend,4,18,40.3
100,Generic Brand Pleat-Front Chinos — Bold (organic cotton),Clothing,"Alternative Pleat-Front Chinos in matte finish. Fabric: organic cotton. Updated fit, drape, and detailing for distinct style preferences.",191.96,organic cotton,3,12,35.2
101,Generic Brand Wool Midi Skirt — Classic (linen),Clothing,"Alternative Wool Midi Skirt in matte finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",169.87,linen,5,6,28.9
102,Generic Brand Plissé Midi Dress — Soft (cashmere blend),Clothing,"Alternative Plissé Midi Dress in brushed finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",135.08,cashmere blend,3,18,18.4
103,Generic Brand Bouclé Cropped Jacket — Minimal (bamboo viscose),Clothing,"Alternative Bouclé Cropped Jacket in gloss finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",82.92,bamboo viscose,3,24,7.2
104,Generic Brand Tweed Blazer — Studio (merino wool),Clothing,"Alternative Tweed Blazer in gloss finish. Fabric: merino wool. Updated fit, drape, and detailing for distinct style preferences.",105.18,merino wool,4,24,16.7
105,Generic Brand Herringbone Coat — Soft (recycled nylon),Clothing,"Alternative Herringbone Coat in brushed finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",52.29,recycled nylon,4,0,36.4
106,Generic Brand Utility Overshirt — Bold (recycled nylon),Clothing,"Alternative Utility Overshirt in textured finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",114.12,recycled nylon,3,18,26.4
107,Generic Brand Workwear Chore Jacket — Classic (modal blend),Clothing,"Alternative Workwear Chore Jacket in textured finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",142.74,modal blend,5,36,17.1
108,Generic Brand Stretch Pencil Trousers — Bold (hemp blend),Clothing,"Alternative Stretch Pencil Trousers in brushed finish. Fabric: hemp blend. Updated fit, drape, and detailing for distinct style preferences.",97.3,hemp blend,3,0,14.9
109,Generic Brand Sateen Blouse — Premium (polyester),Clothing,"Alternative Sateen Blouse in gloss finish. Fabric: polyester. Updated fit, drape, and detailing for distinct style preferences.",195.38,polyester,4,24,42.8
110,Generic Brand Modal Turtleneck — Performance (linen),Clothing,"Alternative Modal Turtleneck in matte finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",83.88,linen,5,0,28.2
111,Generic Brand Sustainable Hoodie — Bold (vegan leather),Clothing,"Alternative Sustainable Hoodie in brushed finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",28.28,vegan leather,3,36,14.7
112,Generic Brand Organic Cotton Tee — Classic (vegan leather),Clothing,"Alternative Organic Cotton Tee in textured finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",205.62,vegan leather,3,6,29.2
113,Generic Brand Recycled Nylon Windbreaker — Studio (linen),Clothing,"Alternative Recycled Nylon Windbreaker in textured finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",133.18,linen,4,0,6.3
114,Generic Brand Performance Leggings — Performance (linen),Clothing,"Alternative Performance Leggings in natural finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",268.49,linen,4,24,25.7
115,Generic Brand Studio Jacket — Minimal (bamboo viscose),Clothing,"Alternative Studio Jacket in natural finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",50.57,bamboo viscose,3,18,32.9
116,Generic Brand Knit Midi Skirt — Bold (merino wool),Clothing,"Alternative Knit Midi Skirt in natural finish. Fabric: merino wool. Updated fit, drape, and detailing for distinct style preferences.",190.79,merino wool,3,12,13.9
117,Generic Brand Satin Midi Dress — Bold (recycled nylon),Clothing,"Alternative Satin Midi Dress in natural finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",200.06,recycled nylon,5,18,22.8
118,Generic Brand Crinkle Chiffon Dress — Eco (merino wool),Clothing,"Alternative Crinkle Chiffon Dress in natural finish. Fabric: merino wool. Updated fit, drape, and detailing for distinct style preferences.",156.13,merino wool,5,0,21.3
119,Generic Brand Tailored Shorts — Urban (recycled nylon),Clothing,"Alternative Tailored Shorts in textured finish. Fabric: recycled nylon. Updated fit, drape, and detailing for distinct style preferences.",76.02,recycled nylon,3,12,7.2
120,Generic Brand Box-Pleat Skirt — Performance (modal blend),Clothing,"Alternative Box-Pleat Skirt in matte finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",71.28,modal blend,3,18,28.4
121,Generic Brand Boat-Neck Knit — Bold (modal blend),Clothing,"Alternative Boat-Neck Knit in natural finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",77.93,modal blend,5,6,20.1
122,Generic Brand Square-Neck Top — Bold (merino wool),Clothing,"Alternative Square-Neck Top in brushed finish. Fabric: merino wool. Updated fit, drape, and detailing for distinct style preferences.",43.53,merino wool,5,18,17.7
123,Generic Brand Ruffle Sleeve Blouse — Soft (bamboo viscose),Clothing,"Alternative Ruffle Sleeve Blouse in textured finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",68.71,bamboo viscose,3,12,42.8
124,Generic Brand Popover Tunic — Urban (linen),Clothing,"Alternative Popover Tunic in textured finish. Fabric: linen. Updated fit, drape, and detailing for distinct style preferences.",62.68,linen,4,6,30.8
125,Generic Brand Knit Column Dress — Classic (modal blend),Clothing,"Alternative Knit Column Dress in textured finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",106.55,modal blend,4,18,32.4
126,Generic Brand Soft Lounge Pants — Urban (hemp blend),Clothing,"Alternative Soft Lounge Pants in textured finish. Fabric: hemp blend. Updated fit, drape, and detailing for distinct style preferences.",116.29,hemp blend,3,24,12.3
127,Generic Brand Relaxed Lounge Tee — Performance (bamboo viscose),Clothing,"Alternative Relaxed Lounge Tee in gloss finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",103.6,bamboo viscose,4,0,18.7
128,Generic Brand Linen Drawstring Pants — Eco (modal blend),Clothing,"Alternative Linen Drawstring Pants in textured finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",208.81,modal blend,5,18,9.7
129,Generic Brand Pinstripe Shirt — Classic (modal blend),Clothing,"Alternative Pinstripe Shirt in textured finish. Fabric: modal blend. Updated fit, drape, and detailing for distinct style preferences.",52.63,modal blend,3,6,19.5
130,Generic Brand Silk Blend Camisole — Urban (bamboo viscose),Clothing,"Alternative Silk Blend Camisole in matte finish. Fabric: bamboo viscose. Updated fit, drape, and detailing for distinct style preferences.",155.26,bamboo viscose,4,12,36.1
131,Generic Brand Heeled Mary Janes — Urban (vegan leather),Clothing,"Alternative Heeled Mary Janes in matte finish. Fabric: vegan leather. Updated fit, drape, and detailing for distinct style preferences.",95.83,vegan leather,4,18,11.7
132,Generic Brand Low-Profile Sneakers — Classic (cashmere blend),Clothing,"Alternative Low-Profile Sneakers in textured finish. Fabric: cashmere blend. Updated fit, drape, and detailing for distinct style preferences.",209.67,cashmere blend,5,0,41.8
133,Generic Brand Stacked Heel Boots — Studio (polyester),Clothing,"Alternative Stacked Heel Boots in textured finish. Fabric: polyester. Updated fit, drape, and detailing for distinct style preferences.",179.69,polyester,4,12,29.5
