ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
20,Generic Brand Corduroy Overshirt,Clothing,Corduroy Overshirt designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,170.67,linen,4,24,21.6
21,Generic Brand Vegan Leather Jacket,Clothing,Vegan Leather Jacket designed for everyday wear. Fabric: modal blend. Tailored fit with timeless styling.,219.48,modal blend,3,24,25.2
22,Generic Brand Slim Fit Jeans,Clothing,Slim Fit Jeans designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,192.92,organic cotton,3,6,36.9
23,Generic Brand Relaxed Hoodie,Clothing,Relaxed Hoodie designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,141.3,polyester,4,18,29.2
24,Generic Brand Athleisure Joggers,Clothing,Athleisure Joggers designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,128.18,recycled nylon,5,0,32.5
25,Generic Brand Merino Cardigan,Clothing,Merino Cardigan designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,157.93,merino wool,5,12,36.0
26,Generic Brand Knitted Vest,Clothing,Knitted Vest designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,46.75,vegan leather,4,6,23.7
27,Generic Brand Sculpted Belt,Clothing,Sculpted Belt designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,214.52,linen,3,24,41.6
28,Generic Brand Heeled Ankle Boots,Clothing,Heeled Ankle Boots designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,189.13,linen,5,24,13.8
29,Generic Brand Ballet Flats,Clothing,Ballet Flats designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,173.69,vegan leather,5,24,41.8
30,Generic Brand Loafers,Clothing,Loafers designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,120.28,vegan leather,3,12,40.3
31,Generic Brand Chelsea Boots,Clothing,Chelsea Boots designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,71.69,linen,3,24,42.9
32,Generic Brand Wool Beanie,Clothing,Wool Beanie designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,167.72,merino wool,3,24,35.9
33,Generic Brand Cashmere Scarf,Clothing,Cashmere Scarf designed for everyday wear. Fabric: cashmere blend. Tailored fit with timeless styling.,153.65,cashmere blend,5,6,16.3
34,Generic Brand Leather Gloves,Clothing,Leather Gloves designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,213.05,polyester,5,6,33.8
35,Generic Brand Classic Trench Coat,Clothing,Classic Trench Coat designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,219.05,polyester,5,12,23.1
36,Generic Brand Packable Down Jacket,Clothing,Packable Down Jacket designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,48.6,recycled nylon,3,0,19.2
37,Generic Brand Chore Jacket,Clothing,Chore Jacket designed for everyday wear. Fabric: modal blend. Tailored fit with timeless styling.,139.75,modal blend,3,0,33.6
38,Generic Brand Seamless Bodysuit,Clothing,Seamless Bodysuit designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,69.64,organic cotton,3,12,8.8
39,Generic Brand Button-Front Dress,Clothing,Button-Front Dress designed for everyday wear. Fabric: modal blend. Tailored fit with timeless styling.,79.3,modal blend,4,6,27.0
40,Generic Brand Paperbag Shorts,Clothing,Paperbag Shorts designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,72.38,recycled nylon,4,18,13.4
41,Generic Brand Classic Oxford Shirt,Clothing,Classic Oxford Shirt designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,153.5,merino wool,4,18,22.0
42,Generic Brand Tailored Waistcoat,Clothing,Tailored Waistcoat designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,156.31,organic cotton,5,0,8.4
43,Generic Brand Pleat-Front Shorts,Clothing,Pleat-Front Shorts designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,181.12,vegan leather,3,6,13.5
44,Generic Brand Knit Midi Dress,Clothing,Knit Midi Dress designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,52.34,recycled nylon,3,12,24.0
45,Generic Brand Satin Slip Dress,Clothing,Satin Slip Dress designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,111.41,merino wool,5,0,8.0
46,Generic Brand Wide Strap Tank,Clothing,Wide Strap Tank designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,213.95,organic cotton,3,6,21.9
47,Generic Brand Crew Socks (3-Pack),Clothing,Crew Socks (3-Pack) designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,66.68,recycled nylon,4,0,12.4
48,Generic Brand Opaque Tights,Clothing,Opaque Tights designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,217.14,organic cotton,4,18,17.1
49,Generic Brand Knit Rib Skirt,Clothing,Knit Rib Skirt designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,55.19,recycled nylon,4,6,43.8
50,Generic Brand Utility Skirt,Clothing,Utility Skirt designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,170.86,organic cotton,3,0,28.8
51,Generic Brand Ponte Leggings,Clothing,Ponte Leggings designed for everyday wear. Fabric: cashmere blend. Tailored fit with timeless styling.,36.09,cashmere blend,5,0,39.2
52,Generic Brand Wrap Top,Clothing,Wrap Top designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,141.03,merino wool,5,6,21.7
53,Generic Brand Peplum Blouse,Clothing,Peplum Blouse designed for everyday wear. Fabric: modal blend. Tailored fit with timeless styling.,137.89,modal blend,3,24,9.2
54,Generic Brand Smocked Blouse,Clothing,Smocked Blouse designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,207.27,vegan leather,3,12,15.3
55,Generic Brand Poplin Shirt Dress,Clothing,Poplin Shirt Dress designed for everyday wear. Fabric: polyester. Tailored fit with timeless styling.,50.52,polyester,5,12,23.8
56,Generic Brand Jersey Midi Dress,Clothing,Jersey Midi Dress designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,26.82,merino wool,5,24,44.8
57,Generic Brand Faux-Suede Skirt,Clothing,Faux-Suede Skirt designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,129.84,merino wool,5,12,11.2
58,Generic Brand Cable-Knit Sweater,Clothing,Cable-Knit Sweater designed for everyday wear. Fabric: vegan leather. Tailored fit with timeless styling.,196.77,vegan leather,3,12,17.1
59,Generic Brand Linen Trousers,Clothing,Linen Trousers designed for everyday wear. Fabric: recycled nylon. Tailored fit with timeless styling.,187.58,recycled nylon,5,12,29.9
60,Generic Brand Tailored Culottes,Clothing,Tailored Culottes designed for everyday wear. Fabric: organic cotton. Tailored fit with timeless styling.,155.23,organic cotton,5,12,42.3
61,Generic Brand Plissé Skirt,Clothing,Plissé Skirt designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,208.09,merino wool,3,12,10.5
62,Generic Brand Double-Breasted Blazer,Clothing,Double-Breasted Blazer designed for everyday wear. Fabric: merino wool. Tailored fit with timeless styling.,169.77,merino wool,3,12,17.0
63,Generic Brand Bouclé Jacket,Clothing,Bouclé Jacket designed for everyday wear. Fabric: modal blend. Tailored fit with timeless styling.,164.93,modal blend,3,12,25.7
64,Generic Brand Tweed Skirt,Clothing,Tweed Skirt designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,201.54,linen,3,0,30.7
65,Generic Brand Boxy Tee,Clothing,Boxy Tee designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,33.6,linen,4,6,30.8
66,Generic Brand Wool Mock-Neck Cardigan,Clothing,Wool Mock-Neck Cardigan designed for everyday wear. Fabric: linen. Tailored fit with timeless styling.,56.51,linen,4,24,33.5
67,Generic Brand Pearl Frame Wall Mirror,Household,Home essential crafted from solid oak. Modern aesthetic with functional design and easy maintenance.,55.41,solid oak,5,6,70.0
68,Generic Brand Curved Dune Mirror,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,238.01,glass,3,18,24.0
69,Generic Brand Color Glass Wall Sconce,Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,153.48,stoneware,3,12,33.1
70,Generic Brand Vintage Flush-Mount Sconce,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,270.77,organic cotton,4,24,107.3
71,Generic Brand Gingham Cotton Duvet Set,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,389.85,FSC recycled paper,5,6,111.8
72,Generic Brand Seersucker Bedding Set,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,347.47,organic cotton,3,18,12.7
73,Generic Brand Origami Paper Lightshade,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,315.57,glass,4,6,39.3
74,Generic Brand Japandi Pendant Light,Household,Home essential crafted from powder-coated steel. Modern aesthetic with functional design and easy maintenance.,160.43,powder-coated steel,3,18,34.5
75,Generic Brand Silhouette Sheer Curtains,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,147.67,woven rattan,3,6,12.6
76,Generic Brand Stripe Quilt Cover,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,166.6,organic cotton,4,0,116.4
77,Generic Brand Chenille Lounge Chair,Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,148.24,stoneware,5,18,84.7
78,Generic Brand Modern Dining Table,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,376.42,glass,3,12,29.6
79,Generic Brand Oak Sideboard,Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,26.84,stoneware,5,18,48.0
80,Generic Brand Minimalist Floor Lamp,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,181.32,glass,5,0,52.4
81,Generic Brand LED Desk Lamp,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,110.83,organic cotton,5,18,10.2
82,Generic Brand Ceramic Vase Set,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,153.32,organic cotton,3,12,78.5
83,Generic Brand Stoneware Dinnerware (12pc),Household,Home essential crafted from powder-coated steel. Modern aesthetic with functional design and easy maintenance.,291.26,powder-coated steel,4,24,44.0
84,Generic Brand Flatware Set (20pc),Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,138.56,FSC recycled paper,5,12,71.0
85,Generic Brand Textured Rug (5x8),Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,175.13,organic cotton,4,6,77.7
86,Generic Brand Throw Blanket,Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,169.56,stoneware,3,12,41.6
87,Generic Brand Memory Foam Pillow,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,316.87,FSC recycled paper,5,12,61.1
88,Generic Brand Bamboo Bath Towels (4pc),Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,274.14,woven rattan,5,18,97.3
89,Generic Brand Laundry Basket,Household,Home essential crafted from bamboo. Modern aesthetic with functional design and easy maintenance.,267.63,bamboo,4,24,83.0
90,Generic Brand Coat Rack,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,48.23,glass,3,12,34.7
91,Generic Brand Shoe Storage Bench,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,69.17,organic cotton,3,6,118.2
92,Generic Brand Stackable Storage Bins (3pc),Household,Home essential crafted from powder-coated steel. Modern aesthetic with functional design and easy maintenance.,188.7,powder-coated steel,5,24,31.4
93,Generic Brand Airtight Pantry Jars (6pc),Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,203.82,FSC recycled paper,3,6,82.2
94,"Generic Brand Nonstick Skillet (10"")",Household,Home essential crafted from solid oak. Modern aesthetic with functional design and easy maintenance.,358.35,solid oak,3,18,34.1
95,Generic Brand Cast-Iron Dutch Oven (5qt),Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,31.48,woven rattan,3,0,60.2
96,Generic Brand Electric Kettle,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,271.02,woven rattan,5,24,44.9
97,Generic Brand Pour-Over Coffee Set,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,249.71,woven rattan,5,24,56.9
98,Generic Brand French Press,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,360.12,woven rattan,5,18,59.5
99,Generic Brand Glass Water Carafe,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,337.87,organic cotton,4,24,63.3
100,Generic Brand Recycling Bin Duo,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,118.54,organic cotton,3,12,35.8
101,Generic Brand Compost Caddy,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,136.05,glass,5,0,25.2
102,Generic Brand Planter Pot Set (3pc),Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,160.62,organic cotton,3,6,17.1
103,Generic Brand Wall Art Canvas,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,140.38,FSC recycled paper,4,18,16.8
104,Generic Brand Bookshelf (5-tier),Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,163.12,FSC recycled paper,5,0,104.2
105,Generic Brand Floating Shelves (3pc),Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,197.07,FSC recycled paper,4,12,92.9
106,Generic Brand Entryway Mirror,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,220.83,FSC recycled paper,5,24,98.0
107,Generic Brand Bath Mat,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,201.43,organic cotton,4,18,63.4
108,Generic Brand Shower Curtain,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,142.42,FSC recycled paper,5,18,89.7
109,Generic Brand Storage Ottoman,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,368.78,woven rattan,5,24,13.0
110,Generic Brand Accent Chair,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,241.65,FSC recycled paper,5,0,19.2
111,Generic Brand Side Table,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,64.65,FSC recycled paper,4,6,15.5
112,Generic Brand Bedside Table Lamp,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,139.01,FSC recycled paper,4,12,47.1
113,Generic Brand Velvet Cushion Covers (2pc),Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,119.96,FSC recycled paper,4,12,101.8
114,Generic Brand Picture Frame Set (6pc),Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,19.52,woven rattan,5,0,120.0
115,Generic Brand Bedding Basics Bundle,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,99.0,glass,3,0,93.0
116,Generic Brand Knife Set (8pc),Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,89.35,organic cotton,3,24,26.8
117,Generic Brand Cutting Board Trio,Household,Home essential crafted from bamboo. Modern aesthetic with functional design and easy maintenance.,195.74,bamboo,3,24,114.3
118,Generic Brand Bakeware Set (8pc),Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,283.39,woven rattan,4,6,76.6
119,Generic Brand Mixing Bowls (5pc),Household,Home essential crafted from powder-coated steel. Modern aesthetic with functional design and easy maintenance.,313.78,powder-coated steel,3,12,21.9
120,Generic Brand Kitchen Canisters (4pc),Household,Home essential crafted from solid oak. Modern aesthetic with functional design and easy maintenance.,372.41,solid oak,5,18,53.6
121,Generic Brand Spice Rack,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,41.49,organic cotton,5,6,21.2
122,Generic Brand Woven Basket Set (3pc),Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,341.91,stoneware,5,0,97.6
123,Generic Brand Wall Clock,Household,Home essential crafted from solid oak. Modern aesthetic with functional design and easy maintenance.,146.72,solid oak,4,12,17.6
124,Generic Brand Laundry Drying Rack,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,16.91,glass,4,18,21.6
125,Generic Brand Desk Organizer Set,Household,Home essential crafted from glass. Modern aesthetic with functional design and easy maintenance.,258.61,glass,4,6,57.9
126,Generic Brand Trash Can (13 gal),Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,250.97,stoneware,5,18,61.1
127,Generic Brand Air-Tight Container Set,Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,137.05,stoneware,3,0,40.7
128,Generic Brand Dish Drying Rack,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,106.62,woven rattan,4,24,77.1
129,Generic Brand Portable Fan,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,142.52,FSC recycled paper,4,12,30.0
130,Generic Brand Humidifier,Household,Home essential crafted from organic cotton. Modern aesthetic with functional design and easy maintenance.,149.67,organic cotton,4,12,40.8
131,Generic Brand Essential Oil Diffuser,Household,Home essential crafted from stoneware. Modern aesthetic with functional design and easy maintenance.,227.65,stoneware,5,6,19.4
132,Generic Brand Air Purifier Compact,Household,Home essential crafted from FSC recycled paper. Modern aesthetic with functional design and easy maintenance.,201.57,FSC recycled paper,3,18,81.0
133,Generic Brand Pearl Frame Wall Mirror,Household,Home essential crafted from woven rattan. Modern aesthetic with functional design and easy maintenance.,185.89,woven rattan,3,0,42.4
134,Generic Brand Smartwatch S1,Gadgets,Compact Smartwatch S1 with recycled aluminum body. Smart features and energy-efficient components for daily use.,630.85,recycled aluminum,4,24,142.3
135,Generic Brand Wireless Earbuds V2,Gadgets,Compact Wireless Earbuds V2 with PC+ABS blend body. Smart features and energy-efficient components for daily use.,490.9,PC+ABS blend,4,24,132.7
136,Generic Brand Compact Air Purifier A3,Gadgets,Compact Compact Air Purifier A3 with recycled aluminum body. Smart features and energy-efficient components for daily use.,264.7,recycled aluminum,4,6,80.2
137,Generic Brand E-ink Planner Tablet,Gadgets,Compact E-ink Planner Tablet with aluminum chassis body. Smart features and energy-efficient components for daily use.,303.53,aluminum chassis,5,24,287.7
138,Generic Brand Robot Vacuum Lite,Gadgets,Compact Robot Vacuum Lite with aluminum chassis body. Smart features and energy-efficient components for daily use.,195.64,aluminum chassis,5,18,119.1
139,Generic Brand Bluetooth Speaker Mini,Gadgets,Compact Bluetooth Speaker Mini with PC+ABS blend body. Smart features and energy-efficient components for daily use.,878.65,PC+ABS blend,5,24,120.7
140,Generic Brand Smart Home Hub,Gadgets,Compact Smart Home Hub with ABS plastic body. Smart features and energy-efficient components for daily use.,753.39,ABS plastic,4,6,140.2
141,Generic Brand Wi-Fi Mesh Router (2pk),Gadgets,Compact Wi-Fi Mesh Router (2pk) with stainless steel body. Smart features and energy-efficient components for daily use.,41.31,stainless steel,5,6,118.6
142,Generic Brand USB-C Power Bank 20k,Gadgets,Compact USB-C Power Bank 20k with ABS plastic body. Smart features and energy-efficient components for daily use.,510.42,ABS plastic,5,6,209.5
143,Generic Brand Portable Projector Pico,Gadgets,Compact Portable Projector Pico with recycled aluminum body. Smart features and energy-efficient components for daily use.,118.25,recycled aluminum,3,24,121.1
144,Generic Brand Action Camera 4K,Gadgets,Compact Action Camera 4K with recycled aluminum body. Smart features and energy-efficient components for daily use.,412.21,recycled aluminum,3,0,113.1
145,Generic Brand Fitness Tracker Band,Gadgets,Compact Fitness Tracker Band with recycled aluminum body. Smart features and energy-efficient components for daily use.,128.26,recycled aluminum,3,18,172.9
146,Generic Brand Noise-Canceling Headphones,Gadgets,Compact Noise-Canceling Headphones with PC+ABS blend body. Smart features and energy-efficient components for daily use.,576.62,PC+ABS blend,3,6,87.3
147,Generic Brand Smart LED Bulbs (4pk),Gadgets,Compact Smart LED Bulbs (4pk) with PC+ABS blend body. Smart features and energy-efficient components for daily use.,854.74,PC+ABS blend,3,6,79.6
148,Generic Brand Smart Plug Duo,Gadgets,Compact Smart Plug Duo with recycled aluminum body. Smart features and energy-efficient components for daily use.,556.5,recycled aluminum,5,6,243.9
149,"Generic Brand Laptop Sleeve 14""",Gadgets,"Compact Laptop Sleeve 14"" with recycled aluminum body. Smart features and energy-efficient components for daily use.",420.95,recycled aluminum,4,12,265.0
150,Generic Brand USB-C Docking Hub,Gadgets,Compact USB-C Docking Hub with recycled aluminum body. Smart features and energy-efficient components for daily use.,294.68,recycled aluminum,5,0,202.4
151,Generic Brand Mechanical Keyboard Compact,Gadgets,Compact Mechanical Keyboard Compact with ABS plastic body. Smart features and energy-efficient components for daily use.,853.4,ABS plastic,3,6,116.2
152,Generic Brand Ergo Mouse Wireless,Gadgets,Compact Ergo Mouse Wireless with ABS plastic body. Smart features and energy-efficient components for daily use.,165.64,ABS plastic,3,24,68.8
153,Generic Brand Webcam HD Pro,Gadgets,Compact Webcam HD Pro with ABS plastic body. Smart features and energy-efficient components for daily use.,384.41,ABS plastic,5,24,167.5
154,Generic Brand Microphone USB Studio,Gadgets,Compact Microphone USB Studio with ABS plastic body. Smart features and energy-efficient components for daily use.,230.38,ABS plastic,5,12,225.7
155,Generic Brand Ring Light Desk,Gadgets,Compact Ring Light Desk with recycled aluminum body. Smart features and energy-efficient components for daily use.,90.93,recycled aluminum,3,12,247.0
156,Generic Brand External SSD 1TB,Gadgets,Compact External SSD 1TB with PC+ABS blend body. Smart features and energy-efficient components for daily use.,604.23,PC+ABS blend,3,18,78.7
157,Generic Brand SD Card 256GB,Gadgets,Compact SD Card 256GB with aluminum chassis body. Smart features and energy-efficient components for daily use.,592.44,aluminum chassis,4,6,67.9
158,Generic Brand Smart Thermostat,Gadgets,Compact Smart Thermostat with aluminum chassis body. Smart features and energy-efficient components for daily use.,718.59,aluminum chassis,5,24,280.3
159,Generic Brand Video Doorbell,Gadgets,Compact Video Doorbell with recycled aluminum body. Smart features and energy-efficient components for daily use.,137.19,recycled aluminum,5,12,224.9
160,Generic Brand Smart Lock,Gadgets,Compact Smart Lock with stainless steel body. Smart features and energy-efficient components for daily use.,464.41,stainless steel,4,18,70.1
161,Generic Brand Smart Curtain Motor,Gadgets,Compact Smart Curtain Motor with ABS plastic body. Smart features and energy-efficient components for daily use.,802.8,ABS plastic,5,12,200.9
162,Generic Brand Indoor Security Cam,Gadgets,Compact Indoor Security Cam with ABS plastic body. Smart features and energy-efficient components for daily use.,108.45,ABS plastic,5,24,196.8
163,Generic Brand Digital Photo Frame,Gadgets,Compact Digital Photo Frame with ABS plastic body. Smart features and energy-efficient components for daily use.,898.63,ABS plastic,5,12,194.1
164,Generic Brand Electric Toothbrush,Gadgets,Compact Electric Toothbrush with aluminum chassis body. Smart features and energy-efficient components for daily use.,438.34,aluminum chassis,5,18,279.0
165,Generic Brand Water Flosser,Gadgets,Compact Water Flosser with aluminum chassis body. Smart features and energy-efficient components for daily use.,896.34,aluminum chassis,4,18,292.3
166,Generic Brand Hair Dryer Ionic,Gadgets,Compact Hair Dryer Ionic with recycled aluminum body. Smart features and energy-efficient components for daily use.,331.73,recycled aluminum,4,12,217.5
167,Generic Brand Curling Iron Set,Gadgets,Compact Curling Iron Set with aluminum chassis body. Smart features and energy-efficient components for daily use.,315.93,aluminum chassis,5,18,122.1
168,Generic Brand Beard Trimmer Kit,Gadgets,Compact Beard Trimmer Kit with recycled aluminum body. Smart features and energy-efficient components for daily use.,736.8,recycled aluminum,5,0,163.7
169,Generic Brand Kitchen Scale,Gadgets,Compact Kitchen Scale with stainless steel body. Smart features and energy-efficient components for daily use.,248.59,stainless steel,3,18,266.2
170,Generic Brand Smart Food Thermometer,Gadgets,Compact Smart Food Thermometer with ABS plastic body. Smart features and energy-efficient components for daily use.,601.16,ABS plastic,5,18,153.3
171,Generic Brand Sous Vide Cooker,Gadgets,Compact Sous Vide Cooker with aluminum chassis body. Smart features and energy-efficient components for daily use.,480.04,aluminum chassis,5,18,206.4
