title,details,board_name,created_at,alive
Low-End Skirt — Taupe Contemporary Corded #040,In ivory with a patina finish this industrial design is crafted from ceramic and features a subtle rib-knit texture. Thoughtfully modular and naturally smart-enabled it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/12/02 10:32:17,true
Low-End Belt — Mocha Art Deco Sateen #041,In pearl with a patina finish this modern coastal design is crafted from tempered glass and features a subtle quilting texture. Thoughtfully ergonomic and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/25 21:36:45,true
Low-End Blazer — Copper Boho Sateen #042,In seafoam with a brushed finish this vintage-inspired design is crafted from merino wool and features a subtle corded texture. Thoughtfully stain-resistant and naturally noise-cancelling it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/11 10:54:59,true
Low-End Coat — Slate Blue Modern Coastal Chevron #043,In sage with a hand-burnished finish this Scandinavian design is crafted from recycled polyester and features a subtle chevron texture. Thoughtfully OLED display and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/10/25 07:16:43,true
Low-End Bag — Sunflower Yellow Boho Herringbone #044,In rust with a lacquered finish this modern coastal design is crafted from oak and features a subtle rib-knit texture. Thoughtfully USB-C fast-charging and naturally wireless it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/02 04:22:20,true
Low-End Jumpsuit — Rosewood Mid-Century Quilting #045,In sand with a patina finish this art deco design is crafted from rattan and features a subtle chevron texture. Thoughtfully heat-retaining and naturally stain-resistant it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/03 13:39:43,true
Low-End Beanie — Sand Modern Coastal Micro-Check #046,In copper with a high-gloss finish this contemporary design is crafted from silicone and features a subtle chevron texture. Thoughtfully USB-C fast-charging and naturally dishwasher-safe it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/05 07:06:31,true
Low-End Trousers — Forest Green Scandinavian Pebbled #047,In taupe with a high-gloss finish this minimalist design is crafted from rattan and features a subtle quilting texture. Thoughtfully noise-cancelling and naturally multi-room it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/15 20:35:59,true
Low-End Trousers — Seafoam Vintage-Inspired Herringbone #048,In onyx with a oiled finish this minimalist design is crafted from organic cotton and features a subtle corded texture. Thoughtfully detachable and naturally modular it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/20 23:32:59,true
Low-End Shirt — Pearl Mid-Century Matelassé #049,In sage with a oiled finish this Scandinavian design is crafted from tempered glass and features a subtle sateen texture. Thoughtfully low-latency and naturally energy-efficient it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/19 19:54:13,true
Low-End Dress — Copper Mid-Century Corded #050,In sunflower yellow with a powder-coated finish this art deco design is crafted from anodized aluminum and features a subtle corded texture. Thoughtfully voice control and naturally collapsible it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/25 08:56:44,true
Low-End Coat — Onyx Vintage-Inspired Micro-Check #051,In midnight with a raw finish this minimalist design is crafted from rattan and features a subtle chevron texture. Thoughtfully USB-C fast-charging and naturally detachable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/29 01:00:34,true
Low-End Polo — Indigo Modern Coastal Matelassé #052,In ivory with a brushed finish this boho design is crafted from brushed steel and features a subtle matelassé texture. Thoughtfully noise-cancelling and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/22 19:34:53,true
Low-End Shirt — Graphite Japandi Micro-Check #053,In forest green with a high-gloss finish this Japandi design is crafted from bamboo viscose and features a subtle quilting texture. Thoughtfully dishwasher-safe and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/29 21:00:19,true
Low-End Loafers — Pearl Japandi Pebbled #054,In ivory with a matte finish this mid-century design is crafted from hemp and features a subtle corded texture. Thoughtfully detachable and naturally collapsible it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/11 22:15:45,true
Low-End Jumpsuit — Almond Beige Japandi Herringbone #055,In indigo with a satin finish this art deco design is crafted from cashmere and features a subtle basketweave texture. Thoughtfully adaptive fit and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/20 19:15:26,true
Low-End Belt — Sage Minimalist Pebbled #056,In seafoam with a raw finish this Scandinavian design is crafted from carbon fiber and features a subtle basketweave texture. Thoughtfully adaptive fit and naturally collapsible it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/05 05:08:53,true
Low-End Belt — Terracotta Art Deco Pebbled #057,In slate blue with a patina finish this contemporary design is crafted from linen and features a subtle herringbone texture. Thoughtfully ergonomic and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/10 17:11:44,true
Low-End Jumpsuit — Terracotta Modern Coastal Sateen #058,In indigo with a hand-burnished finish this industrial design is crafted from walnut and features a subtle micro-check texture. Thoughtfully heat-retaining and naturally voice control it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/11 13:02:31,true
Low-End Jumpsuit — Midnight Japandi Sateen #059,In taupe with a satin finish this mid-century design is crafted from borosilicate glass and features a subtle basketweave texture. Thoughtfully stain-resistant and naturally packable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/08/30 13:08:44,true
Low-End Boots — Ivory Japandi Rib-Knit #060,In sage with a brushed finish this Japandi design is crafted from Italian leather and features a subtle chevron texture. Thoughtfully heat-retaining and naturally stackable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/15 14:24:19,true
Low-End Blazer — Charcoal Art Deco Rib-Knit #061,In charcoal with a hand-burnished finish this mid-century design is crafted from anodized aluminum and features a subtle sateen texture. Thoughtfully packable and naturally OLED display it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/09/23 20:12:29,true
Low-End Boots — Charcoal Boho Basketweave #062,In indigo with a hand-burnished finish this vintage-inspired design is crafted from ceramic and features a subtle basketweave texture. Thoughtfully ergonomic and naturally dishwasher-safe it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/29 18:06:15,true
Low-End Shirt — Sage Art Deco Quilting #063,In indigo with a hand-burnished finish this industrial design is crafted from silicone and features a subtle quilting texture. Thoughtfully collapsible and naturally dishwasher-safe it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/06 17:02:02,true
Low-End Skirt — Onyx Scandinavian Corded #064,In forest green with a lacquered finish this minimalist design is crafted from borosilicate glass and features a subtle quilting texture. Thoughtfully dishwasher-safe and naturally heat-retaining it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/12/09 11:22:57,true
Low-End Dress — Taupe Vintage-Inspired Basketweave #065,In rosewood with a patina finish this mid-century design is crafted from anodized aluminum and features a subtle matelassé texture. Thoughtfully stain-resistant and naturally low-latency it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/12/08 19:06:04,true
Low-End Cardigan — Forest Green Japandi Micro-Check #066,In seafoam with a brushed finish this modern coastal design is crafted from linen and features a subtle herringbone texture. Thoughtfully dishwasher-safe and naturally stackable it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/04 08:11:35,true
Low-End Shirt — Pearl Industrial Basketweave #067,In midnight with a satin finish this Scandinavian design is crafted from oak and features a subtle matelassé texture. Thoughtfully noise-cancelling and naturally low-latency it feels refined yet practical in everyday settings. Accessible without compromising daily utility designed for effortless use.,Clothes,2025/11/03 19:52:10,true
High-End Vase — Charcoal Industrial Sateen #001,In graphite with a powder-coated finish this Japandi design is crafted from recycled polyester and features a subtle rib-knit texture. Thoughtfully noise-cancelling and naturally OLED display it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/31 00:38:31,true
High-End Sconce — Sunflower Yellow Contemporary Sateen #002,In rust with a patina finish this art deco design is crafted from silicone and features a subtle micro-check texture. Thoughtfully OLED display and naturally detachable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/11/02 05:49:51,true
High-End Desk — Ivory Industrial Chevron #003,In slate blue with a patina finish this minimalist design is crafted from linen and features a subtle chevron texture. Thoughtfully heat-retaining and naturally stackable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/11/21 03:23:39,true
High-End Curtain Panel — Forest Green Scandinavian Chevron #004,In seafoam with a matte finish this minimalist design is crafted from brushed steel and features a subtle herringbone texture. Thoughtfully adaptive fit and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/12 04:53:32,true
High-End Desk — Pearl Boho Micro-Check #005,In graphite with a powder-coated finish this art deco design is crafted from recycled polyester and features a subtle pebbled texture. Thoughtfully ergonomic and naturally detachable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/12/03 05:33:34,true
High-End Coffee Table — Slate Blue Contemporary Quilting #006,In slate blue with a lacquered finish this contemporary design is crafted from oak and features a subtle quilting texture. Thoughtfully adaptive fit and naturally water-resistant it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/23 13:49:49,true
High-End Planter — Indigo Boho Chevron #007,In midnight with a satin finish this minimalist design is crafted from borosilicate glass and features a subtle matelassé texture. Thoughtfully detachable and naturally packable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/09/16 10:28:56,true
High-End Armchair — Copper Minimalist Pebbled #008,In onyx with a brushed finish this contemporary design is crafted from recycled polyester and features a subtle herringbone texture. Thoughtfully smart-enabled and naturally ergonomic it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/09/20 22:29:47,true
High-End Sideboard — Seafoam Scandinavian Pebbled #009,In pearl with a satin finish this art deco design is crafted from linen and features a subtle rib-knit texture. Thoughtfully ergonomic and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/28 20:38:24,true
High-End Curtain Panel — Charcoal Art Deco Chevron #010,In almond beige with a patina finish this mid-century design is crafted from Italian leather and features a subtle corded texture. Thoughtfully water-resistant and naturally low-latency it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/09/22 17:42:53,true
High-End Pendant Light — Indigo Japandi Sateen #011,In midnight with a brushed finish this mid-century design is crafted from carbon fiber and features a subtle quilting texture. Thoughtfully water-resistant and naturally detachable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/12 21:33:14,true
High-End Curtain Panel — Pearl Scandinavian Micro-Check #012,In sage with a lacquered finish this Japandi design is crafted from rattan and features a subtle sateen texture. Thoughtfully detachable and naturally energy-efficient it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/09/28 01:24:20,true
High-End Duvet Set — Rust Industrial Micro-Check #013,In graphite with a patina finish this art deco design is crafted from merino wool and features a subtle micro-check texture. Thoughtfully adaptive fit and naturally water-resistant it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/12/04 12:55:16,true
High-End Duvet Set — Midnight Contemporary Rib-Knit #014,In rust with a satin finish this Japandi design is crafted from hemp and features a subtle pebbled texture. Thoughtfully dishwasher-safe and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/11/04 12:52:42,true
High-End Wall Shelf — Terracotta Contemporary Rib-Knit #015,In seafoam with a brushed finish this Scandinavian design is crafted from borosilicate glass and features a subtle chevron texture. Thoughtfully energy-efficient and naturally stackable it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/18 16:23:43,true
High-End Dinnerware Set — Graphite Scandinavian Basketweave #016,In rust with a high-gloss finish this Scandinavian design is crafted from walnut and features a subtle herringbone texture. Thoughtfully USB-C fast-charging and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/24 00:47:07,true
High-End Planter — Sunflower Yellow Art Deco Chevron #017,In rust with a high-gloss finish this boho design is crafted from ceramic and features a subtle pebbled texture. Thoughtfully collapsible and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/25 01:46:03,true
High-End Pendant Light — Rosewood Industrial Quilting #018,In slate blue with a oiled finish this modern coastal design is crafted from linen and features a subtle chevron texture. Thoughtfully stain-resistant and naturally noise-cancelling it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/11/08 06:32:39,true
High-End Dinnerware Set — Taupe Mid-Century Matelassé #019,In forest green with a brushed finish this boho design is crafted from carbon fiber and features a subtle quilting texture. Thoughtfully multi-room and naturally water-resistant it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/11/10 23:26:00,true
High-End Wall Shelf — Seafoam Contemporary Basketweave #020,In seafoam with a powder-coated finish this vintage-inspired design is crafted from recycled polyester and features a subtle matelassé texture. Thoughtfully dishwasher-safe and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/09/24 06:15:19,true
High-End Coffee Table — Rust Scandinavian Chevron #021,In pearl with a brushed finish this contemporary design is crafted from hemp and features a subtle chevron texture. Thoughtfully USB-C fast-charging and naturally ergonomic it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/22 00:20:15,true
High-End Curtain Panel — Taupe Minimalist Pebbled #022,In seafoam with a matte finish this mid-century design is crafted from organic cotton and features a subtle basketweave texture. Thoughtfully OLED display and naturally smart-enabled it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/08/28 15:14:13,true
High-End Table Lamp — Graphite Modern Coastal Sateen #023,In taupe with a patina finish this contemporary design is crafted from oak and features a subtle sateen texture. Thoughtfully detachable and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/10 03:00:35,true
High-End Vase — Taupe Japandi Matelassé #024,In onyx with a patina finish this minimalist design is crafted from rattan and features a subtle chevron texture. Thoughtfully energy-efficient and naturally heat-retaining it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/09/16 20:10:39,true
High-End Rug — Charcoal Boho Matelassé #025,In graphite with a patina finish this art deco design is crafted from rattan and features a subtle basketweave texture. Thoughtfully low-latency and naturally OLED display it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/26 03:19:37,true
High-End Table Lamp — Pearl Modern Coastal Micro-Check #026,In onyx with a matte finish this vintage-inspired design is crafted from bamboo viscose and features a subtle herringbone texture. Thoughtfully stackable and naturally collapsible it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/11 15:28:45,true
High-End Dinnerware Set — Terracotta Vintage-Inspired Sateen #027,In sand with a patina finish this boho design is crafted from merino wool and features a subtle herringbone texture. Thoughtfully detachable and naturally multi-room it feels refined yet practical in everyday settings. Positioned for discerning buyers it balances craftsmanship with elevated performance.,Dream home/design inspo,2025/10/12 23:11:28,true
